Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2023,Multi-region,monotrophic,Community,multi,aquatic,aquatic,lake,emperical,observational,Mixed,Yes,NA,asynchronous dynamics across space was higher than compensatory dynamics due to differences in biomass fluctuations across species and populations,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,2023,NA,monotrophic,Community,amphibians,aquatic,aquatic,NA,theoretical,modelled,NA,Yes,NA,low dispersal creates oscillations from equillibrium,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,2023,Multi-region,monotrophic,Community,insecta,terrestrial,terrestrial,multiple,emperical,observational,Yes,Yes,NA,diversity reduced synchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,2022,44.12,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,no_effect,No,NA,disturbance had no effect on species asynchrony but did affect ANPP through reducing dominants,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2022,32.54,monotrophic,Community,plankton,marine,marine,intertidal,emperical,observational,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2023,37.02,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,no_effect,Yes,NA,functional group asynchrony promoted stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2022,30.29,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,Yes,fertilizer reduced stability by lowering species richness; increasing dominant,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,2022,44.31,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2022,Multi-region,monotrophic,Community,aves,terrestrial,terrestrial,multiple,emperical,observational,NA,Yes,differences in functional traits produced difference rates of spatial synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2022,43.38,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,NA,Yes,N-induced loss of ecosystem stability was mainly driven by the loss of dominant species stability and the reduction in population stability,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,2023,Multi-region,monotrophic,population,pices,marine,marine,coastal,emperical,observational,NA,Both,synchrony in good years,asynchrony in bad years,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,2022,43.5,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,Yes,precipitation reduced asynchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,2023,NA,multitrophic,Community,many,model,NA,NA,theoretical,modelled,Mixed,Yes,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,2022,29.4,monotrophic,Community,plantae,terrestrial,terrestrial,forest,emperical,observational,Yes,Yes,NA,functional trait diversity promotes asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,2023,64.52,monotrophic,Community,plantae,terrestrial,terrestrial,tundra,emperical,experimental,Yes,Yes,higher species evenness was the principal factor associated with the weakened community abundance stability in warming plots,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,2023,32.48,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,NA,Yes,light limitation and nitrogen addition increased synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,2022,42.02,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,Yes,Nitrogen addition increases synchrony,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,2022,44.37,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Mixed,Yes,Nitrogen addition increases synchrony,water addition reduces synchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,2022,NA,monotrophic,Community,scleractinians,marine,marine,coral reef,theoretical,modelled,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,2023,30.27,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,no_effect,Yes,warming reduces negative effect of nitrogen addition on stability,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,2022,30.5,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,Yes,Yes,NA,phosphorus increases species asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,2022,43.5,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,observational,Yes,Yes,NA,functional group asynchrony had the strongest contribution to community compensatory dynamics ,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,2023,45,monotrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,no_effect,Yes,NA,species richness reduces synchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,2022,,multitrophic,Community,plantae,terrestrial,terrestrial,grassland,emperical,experimental,NA,Yes,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,2023,17.48,monotrophic,community,scleractinians,marine,marine,Coral reef,emperical,observational,NA,Yes,disturbance synchronizes,differential exposure creates spatial asynchrony,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
