Paper_no.,Year of publication,Latitude,Trophic study,Organizational scale,Organism type,Biome,No. resource taxa,No. consumer taxa,Study type,Empirical type,Effect of diversity,Effect of asynchrony,Sync. mechanisms ,Async. Mechanisms,Effect of predators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2015,38.3,monotrophic,Population,Pices,marine,marine,Marine-Aquatic,emperical,observational,NA,Yes,"synchrony occurs among certain populations that were supplimented with hatchery release, but not environmental variability or covariates",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2018,47.3,monotrophic,Community,microbes,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,"alteration of land (e.g., tilling) can destabilize soil microbial abudnance and increasing species synchrony",NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2018,31,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,No,Yes,increasing diversity increased variability in ANPP; high diversity reduced stability,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2018,41,monotrophic,Community,plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,the relationship between synchrony and stability becomes stronger with increased spatial scale; diversity is important for synchrony and stability,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2017,38.3,monotrophic,Population,Pices,marine,marine,Marine-Aquatic,emperical,observational,NA,Yes,certain populations are more important than others in contribution to stock stability; reduction in diversity reduced stability; also synchrony across populations (covariability) reduced stability,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2018,48.5,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,No,synchrony of functional similarty showing shared ecological strategies driving similar speceis responses to weather fluctuations,decreased synchrony with fertilization shows increased compensatory dynamics; positive relationship between species richness and temporal stability was not due to compensatory dynamics; synchrony increased with species richness,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2015,NA,monotrophic,Population,Insecta,terrestrial,terrestrial,NA,emperical,experimental,No,Yes,spatiotemporal varition in habitat availability increases extinction rate and decreases local and metapopulatin size; synchrony increased with dispersal,spatial variation in habitat availability decreases variance in mmetapopilation size,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2015,45.3,monotrophic,Community,zooplankton,aquatic,aquatic,freshwater,emperical,experimental,Yes,Yes,warming synchronized populations,intermediate dispersal promoted spatially asynchronous fluctuations in biomass; dispersal did not stabilize local community biomass,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2015,43,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,no_effect,Yes,Nitrogen addition reduced richness and temporal stability of plant biomass,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2015,NA,multitrophic,Community,model,model,NA,NA,theoretical,modelled,NA,Yes,environmental autocorrelation decreases stability,"all species in food webs exposed to temporally uncorrelated environments show same type of dynamics as isolated species, opposite in positively autocorrelated encironments",predators_destablize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2015,49.1,monotrophic,Population,Mollusca,marine,marine,Intertidal,emperical,observational,NA,No,high degree of demographic between recruit and adult abundance coupling among study sites ,Some degree of spatial variability; time-varying connectivity is important,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2015,37.1,monotrophic,Community,Plantae,terrestrial,terrestrial,Grassland,emperical,experimental,Yes,Yes,NA,grazing increased temporal stability of plant communies by decreasing annual varaitio in native forb cover,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
